candidate_id,rank,score,reasoning
CAND_0018499,1,0.786717,"Exceptional fit candidate who brings 7.2 years of production-scale systems experience at Zomato and Google and Flipkart. At Zomato, they worked on: 'Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search p...' Notice period is 15 days with verified platform contact."
CAND_0077337,2,0.773958,"Highly qualified Staff Machine Learning Engineer with 7.0 years of hands-on experience, including tenure at Paytm. At Paytm, they worked on: 'Built and shipped a production recommendation system at a marketplace product, going from offline experimen...' Contact details are verified on the platform."
CAND_0046525,3,0.766309,"Outstanding profile offering 6.1 years of systems experience as Senior Machine Learning Engineer, with track record at LinkedIn. At Genpact AI, they worked on: 'Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system.' Contact details are verified on the platform."
CAND_0081846,4,0.762077,"Strong candidate presenting 6.7 years of engineering depth as Lead AI Engineer at Razorpay. At Razorpay, they worked on: 'Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search p...' Notice period is 30 days with verified platform contact."
CAND_0080766,5,0.750804,"Highly recommended Staff Machine Learning Engineer with 8.8 years of proven production-scale systems experience at Swiggy. At Salesforce, they worked on: 'Designed the offline experimentation environment, the online A/B testing framework, and the feature-enginee...' Notice period is 0 days with verified platform contact."
CAND_0028793,6,0.748660,"Exceptional fit candidate who brings 7.2 years of production-scale systems experience at Google and Amazon. At Google, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: notice period is high at 120 days. Contact details are verified on the platform."
CAND_0086022,7,0.747187,"Highly qualified Senior Applied Scientist with 5.3 years of production retrieval experience at Uber. At Sarvam AI, they worked on: 'Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search p...' Notice period is 0 days with verified platform contact."
CAND_0007009,8,0.741445,"Outstanding profile offering 7.9 years of systems experience as Recommendation Systems Engineer, with track record at Netflix. At Wysa, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Notice period is 30 days with verified platform contact."
CAND_0055905,9,0.739827,"Strong candidate presenting 8.1 years of production-scale engineering depth at Flipkart and Uber. At Flipkart, they worked on: 'Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items.' Note: based in London with no relocation preference. Notice period is 30 days with verified platform contact."
CAND_0071974,10,0.739791,"Highly recommended Senior AI Engineer with 7.8 years of proven production-scale systems experience at Netflix and Meta. At Netflix, they worked on: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → emb...' Note: based in Vizag, Andhra Pradesh with no relocation preference. Contact details are verified on the platform."
